dataset_code,ossl_file,public_url
LUCAS,ossl_mir_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/LUCAS/ossl_mir_v1.3.csv.gz
LUCAS,ossl_mir_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/LUCAS/ossl_mir_v1.3.parquet
LUCAS,ossl_soillab_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/LUCAS/ossl_soillab_v1.3.csv.gz
LUCAS,ossl_soillab_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/LUCAS/ossl_soillab_v1.3.parquet
LUCAS,ossl_soilsite_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/LUCAS/ossl_soilsite_v1.3.csv.gz
LUCAS,ossl_soilsite_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/LUCAS/ossl_soilsite_v1.3.parquet
LUCAS,ossl_visnir_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/LUCAS/ossl_visnir_v1.3.csv.gz
LUCAS,ossl_visnir_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/LUCAS/ossl_visnir_v1.3.parquet
MTQ,ossl_nir_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/MTQ/ossl_nir_v1.3.csv.gz
MTQ,ossl_nir_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/MTQ/ossl_nir_v1.3.parquet
MTQ,ossl_soillab_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/MTQ/ossl_soillab_v1.3.csv.gz
MTQ,ossl_soillab_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/MTQ/ossl_soillab_v1.3.parquet
MTQ,ossl_soilsite_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/MTQ/ossl_soilsite_v1.3.csv.gz
MTQ,ossl_soilsite_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/MTQ/ossl_soilsite_v1.3.parquet
NEON,ossl_mir_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/NEON/ossl_mir_v1.3.csv.gz
NEON,ossl_mir_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/NEON/ossl_mir_v1.3.parquet
NEON,ossl_soillab_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/NEON/ossl_soillab_v1.3.csv.gz
NEON,ossl_soillab_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/NEON/ossl_soillab_v1.3.parquet
NEON,ossl_soilsite_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/NEON/ossl_soilsite_v1.3.csv.gz
NEON,ossl_soilsite_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/NEON/ossl_soilsite_v1.3.parquet
Neospectra,ossl_mir_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/Neospectra/ossl_mir_v1.3.csv.gz
Neospectra,ossl_mir_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/Neospectra/ossl_mir_v1.3.parquet
Neospectra,ossl_nir_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/Neospectra/ossl_nir_v1.3.csv.gz
Neospectra,ossl_nir_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/Neospectra/ossl_nir_v1.3.parquet
Neospectra,ossl_soillab_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/Neospectra/ossl_soillab_v1.3.csv.gz
Neospectra,ossl_soillab_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/Neospectra/ossl_soillab_v1.3.parquet
Neospectra,ossl_soilsite_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/Neospectra/ossl_soilsite_v1.3.csv.gz
Neospectra,ossl_soilsite_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/Neospectra/ossl_soilsite_v1.3.parquet
PF_NZL,ossl_mir_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/PF_NZL/ossl_mir_v1.3.csv.gz
PF_NZL,ossl_mir_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/PF_NZL/ossl_mir_v1.3.parquet
PF_NZL,ossl_soillab_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/PF_NZL/ossl_soillab_v1.3.csv.gz
PF_NZL,ossl_soillab_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/PF_NZL/ossl_soillab_v1.3.parquet
PF_NZL,ossl_soilsite_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/PF_NZL/ossl_soilsite_v1.3.csv.gz
PF_NZL,ossl_soilsite_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/PF_NZL/ossl_soilsite_v1.3.parquet
SRB,ossl_mir_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/SRB/ossl_mir_v1.3.csv.gz
SRB,ossl_mir_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/SRB/ossl_mir_v1.3.parquet
SRB,ossl_soillab_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/SRB/ossl_soillab_v1.3.csv.gz
SRB,ossl_soillab_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/SRB/ossl_soillab_v1.3.parquet
SRB,ossl_soilsite_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/SRB/ossl_soilsite_v1.3.csv.gz
SRB,ossl_soilsite_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/SRB/ossl_soilsite_v1.3.parquet
WS_SWIND,ossl_mir_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/WS_SWIND/ossl_mir_v1.3.csv.gz
WS_SWIND,ossl_mir_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/WS_SWIND/ossl_mir_v1.3.parquet
WS_SWIND,ossl_soillab_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/WS_SWIND/ossl_soillab_v1.3.csv.gz
WS_SWIND,ossl_soillab_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/WS_SWIND/ossl_soillab_v1.3.parquet
WS_SWIND,ossl_soilsite_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/WS_SWIND/ossl_soilsite_v1.3.csv.gz
WS_SWIND,ossl_soilsite_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/WS_SWIND/ossl_soilsite_v1.3.parquet
